id,hour,app,app_cat,times
B6D6BBBE88C34C0438F42F76C4EE4AD1,11,支付宝,金融理财,5
CA001F218E5DB532076F4EA821BE7874,18,微信,通讯聊天,6
B97798D004A46580E50C1D83472F7F22,1,腾讯视频,视频服务,2
B3B35B39CC3B3BA21BEEEC1017E1D0C7,10,开心消消乐,游戏服务,4
F9969C3F53E6C44C1B40CDBD9BAEB861,23,支付宝,金融理财,1
BBAACC985C0544F8F0E6A8DCB9041BF7,22,百度搜索,实用工具,3
E551E13097A5F47BE108E1D075C11F5D,12,新浪微博,社交网络,20
F10415A963729CDB4F3F91DB269CC883,8,QQ,通讯聊天,3
B56696AA9121FE003823930BD2189AC5,17,新浪微博,社交网络,4
E73BAABE09406455D07962CB8B570E18,16,Keep,健康医疗,1
C6A05D5749012D035BA38F9BC2913F73,14,QQ,通讯聊天,1
E5A2EA78217337A3916157E4BAF864A9,6,微信,通讯聊天,6
E775D372393E1008FC35615AF14DA564,13,微信,通讯聊天,1
B795B7909BBC602EFCDED7EF634DE80D,16,QQ,通讯聊天,2
C736EC974FA49A96DADD4CD5DF34F9F9,8,微信,通讯聊天,29
C91D8F7B0BEA70494FE61D211897A16E,16,微信,通讯聊天,9
FB13D6FB06C84B544A6C39E822409357,18,百度搜索,实用工具,10
F51207498F6879F1B348EA0EE7AF1C5D,17,微信,通讯聊天,3
BAD27073282E94DB5CE5A889ABF33488,17,百度搜索,实用工具,2
C9A4910D073B6839C51BA3C7656730A7,8,Keep,健康医疗,4
CCDD7CAAF4449578CFF559E85DEFB207,14,高德地图,便捷生活,139
BF39CE61577CBD026DF258ED742BD7B5,21,开心消消乐,游戏服务,3
F82EF0BDE7AE051FFF2E173938970F4C,2,去哪儿旅行网,旅行预订,85
BBC91CCACBB3276C375C6F3E971D041D,7,微信,通讯聊天,3
D4CAD0E466F5D2985F4137D14CA3CB86,18,Keep,健康医疗,1
B7C0A89CD6B335DC5B6F8BCE3D8FEF92,17,支付宝,金融理财,20
F1033C37BF1E5C05E20268E73E41BD68,10,开心消消乐,游戏服务,1
FD48C83B12F520A0F0D4A512B464B4FA,19,Keep,健康医疗,9
DF614FE22727A03651F13D0EA1FE7DE1,13,微信,通讯聊天,18
E7457A98CD60453B8FAED54278B5E024,6,今日头条,综合资讯,19
DE555137E6E1C077BEBE1654CBF28947,11,微信,通讯聊天,88
E8930A55F0EEFA2DCA66D123AF42B4FB,9,墨迹天气,便捷生活,14
D89857E1F931B5648E523DF82A3EFEB0,18,微信,通讯聊天,9
BBAACC985C0544F8F0E6A8DCB9041BF7,12,支付宝,金融理财,6
C7908B24C6D99577215BBAEC1F1E53DA,19,微信,通讯聊天,47
E7A0FB032832EE823205277B7A8603E9,8,Keep,健康医疗,1
BD6E3717D48891DBDE2E431BDB0EB3E0,9,支付宝,金融理财,3
DD3BE28D167F90180F62476686B2ECE1,0,腾讯视频,视频服务,2
FF96935CFDC59D8953FBF5D3D3806913,17,QQ,通讯聊天,2
B64EB74BF086DDEAB1A103CFCDD13743,22,百度地图,便捷生活,1
C6FFFBB281FAC969C8B4C1256273FF1C,8,QQ,通讯聊天,5
B456554FDDF981361DB340D2023C56AA,14,百度搜索,实用工具,1
BE9D0AE30950056775B30E894036B5F0,22,百度搜索,实用工具,1
EE8C9E91BC453DB5D3020496820139AB,17,微信,通讯聊天,6
BCDB6237A68270DDE8F96432B7AD57DA,20,百度搜索,实用工具,5
EDA779EC386B6DE9C555EAF5EFF20C39,18,百度搜索,实用工具,4
D9779B4069E9EA0339BEC30B2F856A34,13,支付宝,金融理财,10
B124D86EE66094AC12379DA0802EBEFE,10,高德地图,便捷生活,2
BED77B4D2A0701F66C9D7F654D628176,14,微信,通讯聊天,148
CEB03DBAA7B022B42D835AC3DC135061,20,支付宝,金融理财,6
BF39CE61577CBD026DF258ED742BD7B5,18,腾讯视频,视频服务,3
FD0F94E6B4FE361FEC0DBA73B01A664D,10,微信,通讯聊天,31
D738F781740400549CF4F95798B7F6F3,11,微信,通讯聊天,25
CC09AF7D3BEF647ADF352A206CA80177,14,Keep,健康医疗,4
D9BC1B6520BF2DB8BD0A1C0D732C2B3D,10,微信,通讯聊天,2
E95EB6C1942113D6DC422B1ADF139257,14,百度搜索,实用工具,6
CBA449B12CC3A014E71E2CE0B25D47A4,17,Keep,健康医疗,11
E30089DC1EBBF06107FA0C1EEBC6E7E0,17,微信,通讯聊天,1
DD4DD2F7C97964A31287C08CA9BC877D,22,百度搜索,实用工具,1
ED29EAA17480974B0478BB6A69EA8523,9,支付宝,金融理财,41
FE5D44B24C21C13AD792125D217C491A,11,百度搜索,实用工具,2
DDFE129B934E9C791CB7AB1B72D41729,17,新浪微博,社交网络,2
